channel,x,y
0,44.5,44.5
1,114.21,44.5
2,183.92,44.5
3,253.63,44.5
4,323.34,44.5
5,393.05,44.5
6,462.76,44.5
7,532.47,44.5
8,602.18,44.5
9,671.89,44.5
10,741.6,44.5
11,811.31,44.5
12,881.02,44.5
13,950.73,44.5
14,1020.44,44.5
15,44.5,105.5
16,105.5,105.5
17,166.5,105.5
18,227.5,105.5
19,288.5,105.5
20,349.5,105.5
21,410.5,105.5
22,471.5,105.5
23,532.5,105.5
24,593.5,105.5
25,654.5,105.5
26,715.5,105.5
27,776.5,105.5
28,837.5,105.5
29,898.5,105.5
30,959.5,105.5
31,1020.5,105.5
