Channel,x,y
1,44.5,44.5
2,114.21,44.5
3,183.92,44.5
4,253.63,44.5
5,323.34,44.5
6,393.05,44.5
7,462.76,44.5
8,532.47,44.5
9,602.18,44.5
10,671.89,44.5
11,741.6,44.5
12,811.31,44.5
13,881.02,44.5
14,950.73,44.5
15,1020.44,44.5
16,44.5,105.5
17,105.5,105.5
18,166.5,105.5
19,227.5,105.5
20,288.5,105.5
21,349.5,105.5
22,410.5,105.5
23,471.5,105.5
24,532.5,105.5
25,593.5,105.5
26,654.5,105.5
27,715.5,105.5
28,776.5,105.5
29,837.5,105.5
30,898.5,105.5
31,959.5,105.5
32,1020.5,105.5
